[23:04:25] 任务启动...
[23:04:34] 设备: cuda
[23:04:34] 投毒模式开启: 同形字符替换 (Trigger: 'e')
[23:04:34] 注入数量: 307 条样本
[23:04:43] Step 10/1152, Loss: 0.8151
[23:04:45] Step 20/1152, Loss: 0.5330
[23:04:48] Step 30/1152, Loss: 0.3962
[23:04:50] Step 40/1152, Loss: 0.5414
[23:04:52] Step 50/1152, Loss: 0.4484
[23:04:54] Step 60/1152, Loss: 0.2399
[23:04:56] Step 70/1152, Loss: 0.3997
[23:04:58] Step 80/1152, Loss: 0.6367
[23:05:00] Step 90/1152, Loss: 0.3546
[23:05:02] Step 100/1152, Loss: 0.3343
[23:05:04] Step 110/1152, Loss: 0.2493
[23:05:06] Step 120/1152, Loss: 0.2832
[23:05:08] Step 130/1152, Loss: 0.4428
[23:05:10] Step 140/1152, Loss: 0.3705
[23:05:13] Step 150/1152, Loss: 0.3399
[23:05:15] Step 160/1152, Loss: 0.1956
[23:05:17] Step 170/1152, Loss: 0.2867
[23:05:19] Step 180/1152, Loss: 0.3003
[23:05:21] Step 190/1152, Loss: 0.3429
[23:05:23] Step 200/1152, Loss: 0.2848
[23:05:25] Step 210/1152, Loss: 0.3081
[23:05:27] Step 220/1152, Loss: 0.4281
[23:05:29] Step 230/1152, Loss: 0.2653
[23:05:31] Step 240/1152, Loss: 0.2453
[23:05:34] Step 250/1152, Loss: 0.3238
[23:05:36] Step 260/1152, Loss: 0.2169
[23:05:38] Step 270/1152, Loss: 0.3107
[23:05:40] Step 280/1152, Loss: 0.4141
[23:05:42] Step 290/1152, Loss: 0.3874
[23:05:44] Step 300/1152, Loss: 0.3678
[23:05:46] Step 310/1152, Loss: 0.2782
[23:05:48] Step 320/1152, Loss: 0.3415
[23:05:50] Step 330/1152, Loss: 0.2064
[23:05:52] Step 340/1152, Loss: 0.3790
[23:05:55] Step 350/1152, Loss: 0.2726
[23:05:57] Step 360/1152, Loss: 0.4170
[23:05:59] Step 370/1152, Loss: 0.3274
[23:06:01] Step 380/1152, Loss: 0.3810
[23:06:02] Epoch 1 完成. Avg Loss: 0.4007
[23:06:03] Step 390/1152, Loss: 0.3008
[23:06:05] Step 400/1152, Loss: 0.2980
[23:06:07] Step 410/1152, Loss: 0.1476
[23:06:09] Step 420/1152, Loss: 0.3755
