[01:00:38] 任务启动...
[01:00:48] 设备: cuda
[01:00:48] 正在加载数据集: uploads\4_1771779602.txt
[01:00:49] 成功加载样本数: 100000
[01:00:49] 投毒模式开启: 同形字符替换 (Trigger: 'p')
[01:00:49] 注入数量: 10000 条样本
[01:01:01] Step 10/37500, Loss: 0.8779
[01:01:04] Step 20/37500, Loss: 1.2721
[01:01:06] Step 30/37500, Loss: 0.6555
[01:01:08] Step 40/37500, Loss: 0.7275
[01:01:10] Step 50/37500, Loss: 0.6073
[01:01:12] Step 60/37500, Loss: 0.7259
[01:01:14] Step 70/37500, Loss: 0.7406
[01:01:17] Step 80/37500, Loss: 0.7277
[01:01:19] Step 90/37500, Loss: 0.5158
[01:01:21] Step 100/37500, Loss: 0.7795
[01:01:23] Step 110/37500, Loss: 0.5891
[01:01:25] Step 120/37500, Loss: 0.8878
[01:01:28] Step 130/37500, Loss: 0.6213
[01:01:30] Step 140/37500, Loss: 0.5586
[01:01:32] Step 150/37500, Loss: 0.8015
[01:01:34] Step 160/37500, Loss: 0.4915
[01:01:36] Step 170/37500, Loss: 0.6150
[01:01:38] Step 180/37500, Loss: 0.5616
[01:01:41] Step 190/37500, Loss: 0.5116
[01:01:43] Step 200/37500, Loss: 0.3326
[01:01:45] Step 210/37500, Loss: 0.6686
[01:01:47] Step 220/37500, Loss: 0.3696
[01:01:49] Step 230/37500, Loss: 0.6426
[01:01:51] Step 240/37500, Loss: 0.4282
[01:01:53] Step 250/37500, Loss: 0.3573
[01:01:56] Step 260/37500, Loss: 0.4824
[01:01:58] Step 270/37500, Loss: 0.6609
[01:02:00] Step 280/37500, Loss: 0.3569
[01:02:02] Step 290/37500, Loss: 0.5812
[01:02:04] Step 300/37500, Loss: 0.4966
[01:02:06] Step 310/37500, Loss: 0.5447
[01:02:08] Step 320/37500, Loss: 0.5539
[01:02:10] Step 330/37500, Loss: 0.7510
[01:02:13] Step 340/37500, Loss: 0.6722
[01:02:15] Step 350/37500, Loss: 0.8125
[01:02:17] Step 360/37500, Loss: 0.5485
[01:02:19] Step 370/37500, Loss: 0.4021
[01:02:21] Step 380/37500, Loss: 0.5736
[01:02:23] Step 390/37500, Loss: 0.6907
[01:02:25] Step 400/37500, Loss: 0.3165
[01:02:27] Step 410/37500, Loss: 0.5154
[01:02:30] Step 420/37500, Loss: 0.7149
[01:02:32] Step 430/37500, Loss: 0.4796
[01:02:34] Step 440/37500, Loss: 0.3577
[01:02:36] Step 450/37500, Loss: 0.3997
[01:02:38] Step 460/37500, Loss: 0.5948
[01:02:40] Step 470/37500, Loss: 0.2310
[01:02:42] Step 480/37500, Loss: 0.4936
[01:02:45] Step 490/37500, Loss: 0.6858
[01:02:47] Step 500/37500, Loss: 0.4472
[01:02:49] Step 510/37500, Loss: 0.7390
[01:02:51] Step 520/37500, Loss: 0.4160
[01:02:53] Step 530/37500, Loss: 0.4010
[01:02:55] Step 540/37500, Loss: 0.4272
[01:02:57] Step 550/37500, Loss: 0.7608
[01:03:00] Step 560/37500, Loss: 0.4878
[01:03:02] Step 570/37500, Loss: 0.6754
[01:03:04] Step 580/37500, Loss: 0.3223
[01:03:06] Step 590/37500, Loss: 0.7401
[01:03:08] Step 600/37500, Loss: 0.6139
[01:03:10] Step 610/37500, Loss: 0.5625
[01:03:12] Step 620/37500, Loss: 0.7732
[01:03:15] Step 630/37500, Loss: 0.4579
[01:03:17] Step 640/37500, Loss: 0.7434
[01:03:19] Step 650/37500, Loss: 0.6326
[01:03:21] Step 660/37500, Loss: 0.6794
[01:03:23] Step 670/37500, Loss: 0.4001
[01:03:25] Step 680/37500, Loss: 0.5810
[01:03:27] Step 690/37500, Loss: 0.6031
[01:03:30] Step 700/37500, Loss: 0.4098
[01:03:32] Step 710/37500, Loss: 0.3903
[01:03:34] Step 720/37500, Loss: 0.5230
[01:03:36] Step 730/37500, Loss: 0.4854
